fid,cat,from_cat,to_cat,cost
"26098","200","14","5",17149.991
"26099","229","16","4",7027.227
"26100","238","16","13",9532.286
"26101","14","1","15",21988.005
"26102","29","2","15",20126.828
"26103","44","3","15",24813.45
"26104","75","5","16",6385.887
"26105","89","6","15",19696.175
"26106","134","9","15",36047.169
"26107","149","10","15",32653.992
"26108","164","11","15",27771.714
"26109","230","16","5",6385.887
"26110","7","1","8",52516.168
"26111","22","2","8",50654.991
"26112","37","3","8",55341.613
"26113","52","4","8",42796.439
"26114","67","5","8",41474.881
"26115","82","6","8",50224.338
"26116","128","9","8",66575.332
"26117","143","10","8",63182.155
"26118","158","11","8",58299.877
"26119","173","12","8",63636.456
"26120","188","13","8",44875.197
"26121","203","14","8",47892.536
"26122","218","15","8",33918.083
"26123","233","16","8",38631.653
"26124","106","8","1",52709.305
"26125","107","8","2",50076.513
"26126","108","8","3",55339.58
"26127","109","8","4",42645.782
"26128","110","8","5",41315.24
"26129","111","8","6",50010.402
"26130","113","8","9",66443.066
"26131","114","8","10",63064.121
"26132","115","8","11",58362.098
"26133","116","8","12",63378.481
"26134","117","8","13",44692.01
"26135","118","8","14",47921.042
"26136","119","8","15",33915.482
"26137","120","8","16",38617.004
"26138","97","7","8",11186.267
"26139","112","8","7",11186.267
"26140","101","7","12",53784.739
"26141","116","8","12",63378.481
"26142","101","7","12",53784.739
"26143","116","8","12",63378.481
"26144","23","2","9",17465.181
"26145","24","2","10",14086.236
"26146","26","2","12",15980.438
"26147","53","4","9",26323.243
"26148","54","4","10",22944.298
"26149","56","4","12",24838.5
"26150","68","5","9",27157.792
"26151","69","5","10",23778.847
"26152","71","5","12",25673.049
"26153","83","6","9",17204.944
"26154","84","6","10",13825.999
"26155","86","6","12",15720.201
"26156","98","7","9",56849.324
"26157","99","7","10",53470.379
"26158","113","8","9",66443.066
"26159","114","8","10",63064.121
"26160","189","13","9",27637.007
"26161","190","13","10",24258.062
"26162","192","13","12",26152.264
"26163","219","15","9",35796.404
"26164","220","15","10",32417.459
"26165","234","16","9",30303.829
"26166","235","16","10",26924.884
"26167","55","4","11",18242.275
"26168","70","5","11",19076.824
"26169","100","7","11",48768.356
"26170","115","8","11",58362.098
"26171","191","13","11",19556.039
"26172","221","15","11",27715.436
"26173","236","16","11",22222.861
"26174","200","14","5",17149.991
"26175","101","7","12",53784.739
"26176","116","8","12",63378.481
"26177","58","4","14",17054.15
"26178","193","13","14",18367.914
"26179","196","14","1",16070.221
"26180","196","14","1",16070.221
"26181","13","1","14",15954.095
"26182","222","15","12",33314.129
"26183","237","16","12",27845.949
"26184","9","1","10",15634.485
"26185","24","2","10",14086.236
"26186","54","4","10",22944.298
"26187","69","5","10",23778.847
"26188","84","6","10",13825.999
"26189","99","7","10",53470.379
"26190","114","8","10",63064.121
"26191","190","13","10",24258.062
"26192","220","15","10",32417.459
"26193","235","16","10",26924.884
"26194","151","11","1",6231.658
"26195","154","11","4",18018.809
"26196","155","11","5",18929.049
"26197","157","11","7",48706.86
"26198","158","11","8",58299.877
"26199","162","11","13",19463.284
"26200","164","11","15",27771.714
"26201","165","11","16",22168.552
"26202","1","1","2",4936.835
"26203","5","1","6",5177.692
"26204","97","7","8",11186.267
"26205","112","8","7",11186.267
"26206","8","1","9",18541.36
"26207","23","2","9",17465.181
"26208","38","3","9",14898.8
"26209","53","4","9",26323.243
"26210","68","5","9",27157.792
"26211","83","6","9",17204.944
"26212","98","7","9",56849.324
"26213","113","8","9",66443.066
"26214","159","11","9",15878.082
"26215","189","13","9",27637.007
"26216","219","15","9",35796.404
"26217","234","16","9",30303.829
"26218","8","1","9",18541.36
"26219","23","2","9",17465.181
"26220","38","3","9",14898.8
"26221","53","4","9",26323.243
"26222","68","5","9",27157.792
"26223","83","6","9",17204.944
"26224","98","7","9",56849.324
"26225","113","8","9",66443.066
"26226","159","11","9",15878.082
"26227","189","13","9",27637.007
"26228","219","15","9",35796.404
"26229","234","16","9",30303.829
"26230","3","1","4",12235.1
"26231","4","1","5",13145.34
"26232","6","1","7",42923.151
"26233","7","1","8",52516.168
"26234","12","1","13",13679.575
"26235","14","1","15",21988.005
"26236","15","1","16",16384.843
"26237","154","11","4",18018.809
"26238","155","11","5",18929.049
"26239","157","11","7",48706.86
"26240","158","11","8",58299.877
"26241","162","11","13",19463.284
"26242","164","11","15",27771.714
"26243","165","11","16",22168.552
"26244","199","14","4",17210.186
"26245","208","14","13",18654.661
"26246","58","4","14",17054.15
"26247","193","13","14",18367.914
"26248","222","15","12",33314.129
"26249","237","16","12",27845.949
"26250","229","16","4",7027.227
"26251","238","16","13",9532.286
"26252","60","4","16",7084.258
"26253","195","13","16",9635.426
"26254","57","4","13",2723.487
"26255","72","5","13",3633.763
"26256","102","7","13",35098.268
"26257","117","8","13",44692.01
"26258","223","15","13",13787.195
"26259","238","16","13",9532.286
"26260","184","13","4",2816.316
"26261","185","13","5",3657.309
"26262","187","13","7",35282.18
"26263","188","13","8",44875.197
"26264","194","13","15",13946.801
"26265","195","13","16",9635.426
"26266","181","13","1",13903.246
"26267","182","13","2",11270.454
"26268","183","13","3",16533.521
"26269","186","13","6",11204.343
"26270","189","13","9",27637.007
"26271","190","13","10",24258.062
"26272","191","13","11",19556.039
"26273","192","13","12",26152.264
"26274","193","13","14",18367.914
"26275","12","1","13",13679.575
"26276","27","2","13",11818.398
"26277","42","3","13",16505.02
"26278","87","6","13",11387.745
"26279","132","9","13",27738.739
"26280","147","10","13",24345.562
"26281","162","11","13",19463.284
"26282","177","12","13",26181.946
"26283","208","14","13",18654.661
"26284","104","7","15",24321.74
"26285","119","8","15",33915.482
"26286","217","15","7",24325.066
"26287","218","15","8",33918.083
"26288","229","16","4",7027.227
"26289","238","16","13",9532.286
"26290","60","4","16",7084.258
"26291","195","13","16",9635.426
"26292","14","1","15",21988.005
"26293","29","2","15",20126.828
"26294","44","3","15",24813.45
"26295","89","6","15",19696.175
"26296","134","9","15",36047.169
"26297","149","10","15",32653.992
"26298","164","11","15",27771.714
"26299","1","1","2",4936.835
"26300","5","1","6",5177.692
"26301","33","3","4",15060.545
"26302","34","3","5",15970.785
"26303","36","3","7",45748.596
