fid,cat,from_cat,to_cat,cost
"17096","108","8","3",3045.037
"17097","109","8","4",2428.029
"17098","110","8","5",2503.027
"17099","111","8","6",2709.031
"17100","113","8","9",3645.123
"17101","114","8","10",3576.938
"17102","115","8","11",3286.764
"17103","116","8","12",3698.655
"17104","117","8","13",2642.216
"17105","118","8","14",2858.288
"17106","119","8","15",2071.301
"17107","120","8","16",2214.795
"17108","7","1","8",2914.849
"17109","22","2","8",2798.869
"17110","37","3","8",3054.06
"17111","52","4","8",2427.53
"17112","67","5","8",2504.226
"17113","82","6","8",2718.186
"17114","128","9","8",3646.765
"17115","143","10","8",3578.58
"17116","158","11","8",3294.55
"17117","173","12","8",3698.578
"17118","188","13","8",2644.515
"17119","203","14","8",2859.595
"17120","218","15","8",2071.596
"17121","233","16","8",2216.694
"17122","112","8","7",869.121
"17123","97","7","8",869.121
"17124","23","2","9",1109.637
"17125","24","2","10",1041.452
"17126","26","2","12",1163.169
"17127","53","4","9",1564.419
"17128","54","4","10",1496.234
"17129","56","4","12",1617.951
"17130","68","5","9",1650.833
"17131","69","5","10",1582.648
"17132","71","5","12",1704.365
"17133","83","6","9",1052.822
"17134","84","6","10",984.637
"17135","86","6","12",1106.354
"17136","98","7","9",3031.896
"17137","99","7","10",2963.711
"17138","101","7","12",3085.428
"17139","113","8","9",3645.123
"17140","114","8","10",3576.938
"17141","116","8","12",3698.655
"17142","189","13","9",1763.567
"17143","190","13","10",1695.382
"17144","192","13","12",1817.099
"17145","219","15","9",1956.842
"17146","220","15","10",1888.657
"17147","222","15","12",2010.374
"17148","234","16","9",1736.916
"17149","235","16","10",1668.731
"17150","237","16","12",1790.448
"17151","3","1","4",835.005
"17152","4","1","5",923.238
"17153","6","1","7",2301.657
"17154","7","1","8",2914.849
"17155","12","1","13",1026.249
"17156","14","1","15",1226.273
"17157","15","1","16",1006.771
"17158","46","4","1",836.151
"17159","61","5","1",922.565
"17160","91","7","1",2303.628
"17161","106","8","1",2916.855
"17162","181","13","1",1035.299
"17163","211","15","1",1228.574
"17164","226","16","1",1008.648
"17165","199","14","4",1204.237
"17166","200","14","5",1279.235
"17167","208","14","13",1418.424
"17168","210","14","16",949.906
"17169","58","4","14",1205.77
"17170","73","5","14",1282.466
"17171","193","13","14",1422.755
"17172","239","16","14",950.601
"17173","16","2","1",430.981
"17174","17","2","3",509.551
"17175","18","2","4",719.025
"17176","19","2","5",807.258
"17177","20","2","6",127.247
"17178","21","2","7",2185.677
"17179","22","2","8",2798.869
"17180","23","2","9",1109.637
"17181","24","2","10",1041.452
"17182","25","2","11",751.278
"17183","26","2","12",1163.169
"17184","27","2","13",910.269
"17185","28","2","14",792.226
"17186","29","2","15",1110.293
"17187","30","2","16",890.791
"17188","1","1","2",429.165
"17189","32","3","2",535.507
"17190","47","4","2",682.921
"17191","62","5","2",769.335
"17192","77","6","2",145.433
"17193","92","7","2",2150.398
"17194","107","8","2",2763.625
"17195","122","9","2",1128.212
"17196","137","10","2",1060.027
"17197","152","11","2",764.491
"17198","167","12","2",1180.025
"17199","182","13","2",882.069
"17200","197","14","2",818.347
"17201","212","15","2",1075.344
"17202","227","16","2",855.418
"17203","25","2","11",751.278
"17204","55","4","11",1206.06
"17205","70","5","11",1292.474
"17206","85","6","11",694.463
"17207","100","7","11",2673.537
"17208","115","8","11",3286.764
"17209","191","13","11",1405.208
"17210","206","14","11",1180.686
"17211","221","15","11",1598.483
"17212","236","16","11",1378.557
"17213","154","11","4",1214.706
"17214","155","11","5",1302.939
"17215","156","11","6",690.662
"17216","157","11","7",2681.358
"17217","158","11","8",3294.55
"17218","162","11","13",1405.95
"17219","163","11","14",1179.284
"17220","164","11","15",1605.974
"17221","165","11","16",1386.472
"17222","11","1","12",1291.906
"17223","26","2","12",1163.169
"17224","41","3","12",1248.398
"17225","56","4","12",1617.951
"17226","71","5","12",1704.365
"17227","86","6","12",1106.354
"17228","101","7","12",3085.428
"17229","116","8","12",3698.655
"17230","192","13","12",1817.099
"17231","222","15","12",2010.374
"17232","237","16","12",1790.448
"17233","166","12","1",1275.349
"17234","167","12","2",1180.025
"17235","168","12","3",1239.537
"17236","169","12","4",1618.734
"17237","170","12","5",1706.967
"17238","171","12","6",1094.69
"17239","172","12","7",3085.386
"17240","173","12","8",3698.578
"17241","177","12","13",1809.978
"17242","179","12","15",2010.002
"17243","180","12","16",1790.5
"17244","1","1","2",429.165
"17245","5","1","6",421.423
"17246","152","11","2",764.491
"17247","23","2","9",1109.637
"17248","24","2","10",1041.452
"17249","53","4","9",1564.419
"17250","54","4","10",1496.234
"17251","68","5","9",1650.833
"17252","69","5","10",1582.648
"17253","83","6","9",1052.822
"17254","84","6","10",984.637
"17255","98","7","9",3031.896
"17256","99","7","10",2963.711
"17257","113","8","9",3645.123
"17258","114","8","10",3576.938
"17259","189","13","9",1763.567
"17260","190","13","10",1695.382
"17261","219","15","9",1956.842
"17262","220","15","10",1888.657
"17263","234","16","9",1736.916
"17264","235","16","10",1668.731
"17265","94","7","4",1814.802
"17266","102","7","13",2028.989
"17267","109","8","4",2428.029
"17268","117","8","13",2642.216
"17269","199","14","4",1204.237
"17270","208","14","13",1418.424
"17271","214","15","4",739.748
"17272","223","15","13",953.935
"17273","229","16","4",521.15
"17274","238","16","13",735.337
"17275","15","1","16",1006.771
"17276","30","2","16",890.791
"17277","45","3","16",1145.982
"17278","60","4","16",519.452
"17279","75","5","16",596.148
"17280","90","6","16",810.108
"17281","105","7","16",1601.568
"17282","120","8","16",2214.795
"17283","135","9","16",1738.687
"17284","150","10","16",1670.502
"17285","165","11","16",1386.472
"17286","180","12","16",1790.5
"17287","195","13","16",736.437
"17288","210","14","16",949.906
"17289","225","15","16",526.514
"17290","226","16","1",1008.648
"17291","227","16","2",855.418
"17292","228","16","3",1136.83
"17293","229","16","4",521.15
"17294","230","16","5",596.148
"17295","231","16","6",800.824
"17296","232","16","7",1603.502
"17297","233","16","8",2216.694
"17298","234","16","9",1736.916
"17299","235","16","10",1668.731
"17300","236","16","11",1378.557
"17301","237","16","12",1790.448
"17302","238","16","13",735.337
"17303","239","16","14",950.601
"17304","240","16","15",528.118
"17305","1","1","2",429.165
"17306","5","1","6",421.423
"17307","152","11","2",764.491
"17308","1","1","2",429.165
"17309","5","1","6",421.423
"17310","152","11","2",764.491
"17311","16","2","1",430.981
"17312","76","6","1",423.97
"17313","3","1","4",835.005
"17314","4","1","5",923.238
"17315","6","1","7",2301.657
"17316","7","1","8",2914.849
"17317","12","1","13",1026.249
"17318","14","1","15",1226.273
"17319","15","1","16",1006.771
"17320","46","4","1",836.151
"17321","61","5","1",922.565
"17322","91","7","1",2303.628
"17323","106","8","1",2916.855
"17324","181","13","1",1035.299
"17325","211","15","1",1228.574
"17326","226","16","1",1008.648
"17327","3","1","4",835.005
"17328","4","1","5",923.238
"17329","6","1","7",2301.657
"17330","7","1","8",2914.849
"17331","12","1","13",1026.249
"17332","14","1","15",1226.273
"17333","15","1","16",1006.771
"17334","46","4","1",836.151
"17335","61","5","1",922.565
"17336","91","7","1",2303.628
"17337","106","8","1",2916.855
"17338","181","13","1",1035.299
"17339","211","15","1",1228.574
"17340","226","16","1",1008.648
"17341","3","1","4",835.005
"17342","4","1","5",923.238
"17343","6","1","7",2301.657
"17344","7","1","8",2914.849
"17345","12","1","13",1026.249
"17346","14","1","15",1226.273
"17347","15","1","16",1006.771
"17348","46","4","1",836.151
"17349","61","5","1",922.565
"17350","91","7","1",2303.628
"17351","106","8","1",2916.855
"17352","181","13","1",1035.299
"17353","211","15","1",1228.574
"17354","226","16","1",1008.648
"17355","168","12","3",1239.537
"17356","41","3","12",1248.398
"17357","51","4","7",1814.338
"17358","52","4","8",2427.53
"17359","58","4","14",1205.77
"17360","59","4","15",738.954
"17361","60","4","16",519.452
"17362","187","13","7",2031.323
"17363","188","13","8",2644.515
"17364","193","13","14",1422.755
"17365","194","13","15",955.939
"17366","195","13","16",736.437
"17367","16","2","1",430.981
"17368","76","6","1",423.97
"17369","1","1","2",429.165
"17370","5","1","6",421.423
"17371","152","11","2",764.491
"17372","129","9","10",317.437
"17373","131","9","12",686.232
"17374","133","9","14",1479.824
"17375","144","10","9",317.437
"17376","174","12","9",688.606
"17377","121","9","1",1132.626
"17378","122","9","2",1128.212
"17379","123","9","3",1034.488
"17380","124","9","4",1566.921
"17381","125","9","5",1655.154
"17382","126","9","6",1042.877
"17383","127","9","7",3033.573
"17384","128","9","8",3646.765
"17385","129","9","10",317.437
"17386","130","9","11",1095.814
"17387","131","9","12",686.232
"17388","132","9","13",1758.165
"17389","133","9","14",1479.824
"17390","134","9","15",1958.189
"17391","135","9","16",1738.687
"17392","8","1","9",1145.731
"17393","23","2","9",1109.637
"17394","38","3","9",1034.488
"17395","53","4","9",1564.419
"17396","68","5","9",1650.833
"17397","83","6","9",1052.822
"17398","98","7","9",3031.896
"17399","113","8","9",3645.123
"17400","144","10","9",317.437
"17401","159","11","9",1099.756
"17402","174","12","9",688.606
"17403","189","13","9",1763.567
"17404","204","14","9",1484.624
"17405","219","15","9",1956.842
"17406","234","16","9",1736.916
"17407","129","9","10",317.437
"17408","131","9","12",686.232
"17409","133","9","14",1479.824
"17410","144","10","9",317.437
"17411","174","12","9",688.606
"17412","129","9","10",317.437
"17413","131","9","12",686.232
"17414","133","9","14",1479.824
"17415","144","10","9",317.437
"17416","174","12","9",688.606
"17417","129","9","10",317.437
"17418","131","9","12",686.232
"17419","133","9","14",1479.824
"17420","144","10","9",317.437
"17421","174","12","9",688.606
"17422","174","12","9",688.606
"17423","175","12","10",474.004
"17424","121","9","1",1132.626
"17425","122","9","2",1128.212
"17426","123","9","3",1034.488
"17427","124","9","4",1566.921
"17428","125","9","5",1655.154
"17429","126","9","6",1042.877
"17430","127","9","7",3033.573
"17431","128","9","8",3646.765
"17432","129","9","10",317.437
"17433","130","9","11",1095.814
"17434","131","9","12",686.232
"17435","132","9","13",1758.165
"17436","133","9","14",1479.824
"17437","134","9","15",1958.189
"17438","135","9","16",1738.687
"17439","8","1","9",1145.731
"17440","23","2","9",1109.637
"17441","38","3","9",1034.488
"17442","53","4","9",1564.419
"17443","68","5","9",1650.833
"17444","83","6","9",1052.822
"17445","98","7","9",3031.896
"17446","113","8","9",3645.123
"17447","144","10","9",317.437
"17448","159","11","9",1099.756
"17449","174","12","9",688.606
"17450","189","13","9",1763.567
"17451","204","14","9",1484.624
"17452","219","15","9",1956.842
"17453","234","16","9",1736.916
"17454","174","12","9",688.606
"17455","175","12","10",474.004
"17456","176","12","11",1372.723
"17457","131","9","12",686.232
"17458","146","10","12",470.677
"17459","161","11","12",1372.862
"17460","133","9","14",1479.824
"17461","148","10","14",1260.235
"17462","205","14","10",1265.846
"17463","122","9","2",1128.212
"17464","124","9","4",1566.921
"17465","125","9","5",1655.154
"17466","126","9","6",1042.877
"17467","127","9","7",3033.573
"17468","128","9","8",3646.765
"17469","132","9","13",1758.165
"17470","134","9","15",1958.189
"17471","135","9","16",1738.687
"17472","137","10","2",1060.027
"17473","139","10","4",1498.736
"17474","140","10","5",1586.969
"17475","141","10","6",974.692
"17476","142","10","7",2965.388
"17477","143","10","8",3578.58
"17478","147","10","13",1689.98
"17479","149","10","15",1890.004
"17480","150","10","16",1670.502
"17481","167","12","2",1180.025
"17482","169","12","4",1618.734
"17483","170","12","5",1706.967
"17484","171","12","6",1094.69
"17485","172","12","7",3085.386
"17486","173","12","8",3698.578
"17487","177","12","13",1809.978
"17488","179","12","15",2010.002
"17489","180","12","16",1790.5
"17490","23","2","9",1109.637
"17491","24","2","10",1041.452
"17492","26","2","12",1163.169
"17493","53","4","9",1564.419
"17494","54","4","10",1496.234
"17495","56","4","12",1617.951
"17496","68","5","9",1650.833
"17497","69","5","10",1582.648
"17498","71","5","12",1704.365
"17499","83","6","9",1052.822
"17500","84","6","10",984.637
"17501","86","6","12",1106.354
"17502","98","7","9",3031.896
"17503","99","7","10",2963.711
"17504","101","7","12",3085.428
"17505","113","8","9",3645.123
"17506","114","8","10",3576.938
"17507","116","8","12",3698.655
"17508","189","13","9",1763.567
"17509","190","13","10",1695.382
"17510","192","13","12",1817.099
"17511","219","15","9",1956.842
"17512","220","15","10",1888.657
"17513","222","15","12",2010.374
"17514","234","16","9",1736.916
"17515","235","16","10",1668.731
"17516","237","16","12",1790.448
"17517","121","9","1",1132.626
"17518","122","9","2",1128.212
"17519","123","9","3",1034.488
"17520","124","9","4",1566.921
"17521","125","9","5",1655.154
"17522","126","9","6",1042.877
"17523","127","9","7",3033.573
"17524","128","9","8",3646.765
"17525","129","9","10",317.437
"17526","130","9","11",1095.814
"17527","131","9","12",686.232
"17528","132","9","13",1758.165
"17529","133","9","14",1479.824
"17530","134","9","15",1958.189
"17531","135","9","16",1738.687
"17532","8","1","9",1145.731
"17533","23","2","9",1109.637
"17534","38","3","9",1034.488
"17535","53","4","9",1564.419
"17536","68","5","9",1650.833
"17537","83","6","9",1052.822
"17538","98","7","9",3031.896
"17539","113","8","9",3645.123
"17540","144","10","9",317.437
"17541","159","11","9",1099.756
"17542","174","12","9",688.606
"17543","189","13","9",1763.567
"17544","204","14","9",1484.624
"17545","219","15","9",1956.842
"17546","234","16","9",1736.916
"17547","8","1","9",1145.731
"17548","23","2","9",1109.637
"17549","38","3","9",1034.488
"17550","53","4","9",1564.419
"17551","68","5","9",1650.833
"17552","83","6","9",1052.822
"17553","98","7","9",3031.896
"17554","113","8","9",3645.123
"17555","159","11","9",1099.756
"17556","189","13","9",1763.567
"17557","204","14","9",1484.624
"17558","219","15","9",1956.842
"17559","234","16","9",1736.916
"17560","121","9","1",1132.626
"17561","122","9","2",1128.212
"17562","123","9","3",1034.488
"17563","124","9","4",1566.921
"17564","125","9","5",1655.154
"17565","126","9","6",1042.877
"17566","127","9","7",3033.573
"17567","128","9","8",3646.765
"17568","130","9","11",1095.814
"17569","132","9","13",1758.165
"17570","134","9","15",1958.189
"17571","135","9","16",1738.687
"17572","131","9","12",686.232
"17573","133","9","14",1479.824
"17574","146","10","12",470.677
"17575","131","9","12",686.232
"17576","133","9","14",1479.824
"17577","146","10","12",470.677
"17578","174","12","9",688.606
"17579","175","12","10",474.004
"17580","176","12","11",1372.723
"17581","131","9","12",686.232
"17582","146","10","12",470.677
"17583","161","11","12",1372.862
"17584","146","10","12",470.677
"17585","205","14","10",1265.846
"17586","133","9","14",1479.824
"17587","148","10","14",1260.235
"17588","133","9","14",1479.824
"17589","148","10","14",1260.235
"17590","205","14","10",1265.846
"17591","133","9","14",1479.824
"17592","148","10","14",1260.235
"17593","205","14","10",1265.846
"17594","133","9","14",1479.824
"17595","148","10","14",1260.235
"17596","205","14","10",1265.846
"17597","174","12","9",688.606
"17598","175","12","10",474.004
"17599","176","12","11",1372.723
"17600","131","9","12",686.232
"17601","146","10","12",470.677
"17602","161","11","12",1372.862
"17603","131","9","12",686.232
"17604","133","9","14",1479.824
"17605","146","10","12",470.677
"17606","131","9","12",686.232
"17607","133","9","14",1479.824
"17608","146","10","12",470.677
"17609","174","12","9",688.606
"17610","175","12","10",474.004
"17611","133","9","14",1479.824
"17612","148","10","14",1260.235
"17613","205","14","10",1265.846
"17614","131","9","12",686.232
"17615","133","9","14",1479.824
"17616","146","10","12",470.677
"17617","174","12","9",688.606
"17618","175","12","10",474.004
"17619","144","10","9",317.437
"17620","174","12","9",688.606
"17621","129","9","10",317.437
"17622","131","9","12",686.232
"17623","133","9","14",1479.824
"17624","129","9","10",317.437
"17625","144","10","9",317.437
"17626","205","14","10",1265.846
"17627","133","9","14",1479.824
"17628","148","10","14",1260.235
"17629","133","9","14",1479.824
"17630","148","10","14",1260.235
"17631","205","14","10",1265.846
"17632","121","9","1",1132.626
"17633","122","9","2",1128.212
"17634","123","9","3",1034.488
"17635","124","9","4",1566.921
"17636","125","9","5",1655.154
"17637","126","9","6",1042.877
"17638","127","9","7",3033.573
"17639","128","9","8",3646.765
"17640","129","9","10",317.437
"17641","130","9","11",1095.814
"17642","131","9","12",686.232
"17643","132","9","13",1758.165
"17644","133","9","14",1479.824
"17645","134","9","15",1958.189
"17646","135","9","16",1738.687
"17647","8","1","9",1145.731
"17648","23","2","9",1109.637
"17649","38","3","9",1034.488
"17650","53","4","9",1564.419
"17651","68","5","9",1650.833
"17652","83","6","9",1052.822
"17653","98","7","9",3031.896
"17654","113","8","9",3645.123
"17655","144","10","9",317.437
"17656","159","11","9",1099.756
"17657","174","12","9",688.606
"17658","189","13","9",1763.567
"17659","204","14","9",1484.624
"17660","219","15","9",1956.842
"17661","234","16","9",1736.916
"17662","121","9","1",1132.626
"17663","122","9","2",1128.212
"17664","123","9","3",1034.488
"17665","124","9","4",1566.921
"17666","125","9","5",1655.154
"17667","126","9","6",1042.877
"17668","127","9","7",3033.573
"17669","128","9","8",3646.765
"17670","129","9","10",317.437
"17671","130","9","11",1095.814
"17672","131","9","12",686.232
"17673","132","9","13",1758.165
"17674","133","9","14",1479.824
"17675","134","9","15",1958.189
"17676","135","9","16",1738.687
"17677","8","1","9",1145.731
"17678","23","2","9",1109.637
"17679","38","3","9",1034.488
"17680","53","4","9",1564.419
"17681","68","5","9",1650.833
"17682","83","6","9",1052.822
"17683","98","7","9",3031.896
"17684","113","8","9",3645.123
"17685","144","10","9",317.437
"17686","159","11","9",1099.756
"17687","174","12","9",688.606
"17688","189","13","9",1763.567
"17689","204","14","9",1484.624
"17690","219","15","9",1956.842
"17691","234","16","9",1736.916
"17692","11","1","12",1291.906
"17693","26","2","12",1163.169
"17694","41","3","12",1248.398
"17695","56","4","12",1617.951
"17696","71","5","12",1704.365
"17697","86","6","12",1106.354
"17698","101","7","12",3085.428
"17699","116","8","12",3698.655
"17700","131","9","12",686.232
"17701","146","10","12",470.677
"17702","161","11","12",1372.862
"17703","192","13","12",1817.099
"17704","207","14","12",1275.062
"17705","222","15","12",2010.374
"17706","237","16","12",1790.448
"17707","166","12","1",1275.349
"17708","167","12","2",1180.025
"17709","168","12","3",1239.537
"17710","169","12","4",1618.734
"17711","170","12","5",1706.967
"17712","171","12","6",1094.69
"17713","172","12","7",3085.386
"17714","173","12","8",3698.578
"17715","174","12","9",688.606
"17716","175","12","10",474.004
"17717","176","12","11",1372.723
"17718","177","12","13",1809.978
"17719","178","12","14",1267.744
"17720","179","12","15",2010.002
"17721","180","12","16",1790.5
"17722","11","1","12",1291.906
"17723","26","2","12",1163.169
"17724","41","3","12",1248.398
"17725","56","4","12",1617.951
"17726","71","5","12",1704.365
"17727","86","6","12",1106.354
"17728","101","7","12",3085.428
"17729","116","8","12",3698.655
"17730","131","9","12",686.232
"17731","146","10","12",470.677
"17732","161","11","12",1372.862
"17733","192","13","12",1817.099
"17734","207","14","12",1275.062
"17735","222","15","12",2010.374
"17736","237","16","12",1790.448
"17737","166","12","1",1275.349
"17738","167","12","2",1180.025
"17739","168","12","3",1239.537
"17740","169","12","4",1618.734
"17741","170","12","5",1706.967
"17742","171","12","6",1094.69
"17743","172","12","7",3085.386
"17744","173","12","8",3698.578
"17745","174","12","9",688.606
"17746","175","12","10",474.004
"17747","176","12","11",1372.723
"17748","177","12","13",1809.978
"17749","178","12","14",1267.744
"17750","179","12","15",2010.002
"17751","180","12","16",1790.5
"17752","166","12","1",1275.349
"17753","167","12","2",1180.025
